name,Lat,Long,fclass
Baptist Temple Early Learning Center,29.4007724,-98.4562522,kindergarten
Promise Center for Autism,29.5540932,-98.4309875,kindergarten
Ninas Daycare and Learning Center,29.5791198,-98.3934853,kindergarten
Northminster Early Learning Center,29.4978654,-98.6615021,kindergarten
Oak Hills Presbyterian Church Day Care Center,29.4948922,-98.5688505,kindergarten
Kindercare Learning Centers,29.5184818,-98.6598121,kindergarten
Kindercare Learning Centers,29.5442408,-98.3408925,kindergarten
The Kid's Garden Learning Center,29.539961,-98.5517688,kindergarten
Madison Hills Baptist Church Day Care Center,29.5812448,-98.3937424,kindergarten
Mi Casa Child Care Center,29.4836705,-98.6589218,kindergarten
Universal City Public Library,29.5456886,-98.2936926,library
Leon Valley Public Library,29.5011611,-98.6132078,library
South San Antonio Independent School District Library,29.3688987,-98.5553245,library
Stake Genealogy Library,29.4730872,-98.548648,library
Olmos Park Police Department,29.4718589,-98.49035,police
Kirby Police Department,29.4682874,-98.3816812,police
Hill Country Village City Hall,29.5717034,-98.4817702,town_hall
Terrell Hills City Hall,29.4753218,-98.4589439,town_hall
Kirby City Hall,29.4719414,-98.3820911,town_hall
Alamo Heights City Hall,29.4848165,-98.4662011,town_hall
Fort Sam Houston Theatre,29.4495674,-98.4584174,theatre
Harlandale Independent School District Police Department,29.3463396,-98.5127896,police
Castle Hills City Police Department,29.5219034,-98.5214854,police
Majestic Theatre,29.4263538,-98.4906197,theatre
Aztec Theater,29.4247609,-98.4912458,theatre
Center for Legal and Social Justice,29.4597876,-98.5680438,public_building
San Antonio Art League Museum,29.4166014,-98.4908493,museum
Texas Highway Patrol Museum,29.4157728,-98.4890113,museum
United States Army Medical Department Museum,29.461343,-98.4380715,museum
East Central Schools Museum,29.3488476,-98.2952898,museum
Fort Sam Houston Museum,29.4482878,-98.4664055,museum
Texas Driving School,29.5180256,-98.451139,school
Jimmy John's,29.5178497,-98.4508971,fast_food
International Food Market,29.5179698,-98.4510602,convenience
La Marginal,29.517902,-98.4509723,restaurant
Bangkok 54,29.5188455,-98.4499329,restaurant
Rod Dog's Saloon,29.5173784,-98.4488853,bar
Don and Ben's Liquor,29.5181244,-98.4492146,beverages
Schlotzsky's Deli,29.5181971,-98.4491332,fast_food
Dr. Paul A Darrow,29.5186743,-98.4488711,doctors
Fish City Grill,29.6053521,-98.4675543,restaurant
Pei Wei,29.6069791,-98.4629788,restaurant
Firehouse Subs,29.6068448,-98.4630646,fast_food
Stout's Pizza Co.,29.6059568,-98.4640173,restaurant
Kung Fu Tea,29.6055717,-98.4675177,cafe
Hard Rock Cafe,29.4251879,-98.4891537,restaurant
Valero Gas Station,29.482315,-98.4600984,convenience
CVS Pharmacy,29.4896042,-98.4589021,chemist
Walgreens,29.4966081,-98.4669648,pharmacy
Alamo Cafe,29.5714315,-98.4789262,restaurant
Asia Market,29.4849971,-98.6030732,supermarket
Visitor Booth,29.5814765,-98.6197922,tourist_info
Subway,29.435193,-98.709918,fast_food
Pei Wei,29.4362314,-98.7082424,restaurant
Wingstop,29.4365397,-98.7082424,fast_food
Way 2 Wash,29.436069,-98.7048032,car_wash
H-E-B Pharmacy,29.5263388,-98.6031917,pharmacy
Peter Piper Pizza,29.499547,-98.6227702,fast_food
Starbucks,29.5203311,-98.6383137,cafe
Costco Pharmacy,29.611945,-98.4749298,pharmacy
Buffalo Wild Wings,29.6116465,-98.4667561,restaurant
H-E-B Pharmacy,29.6069424,-98.4668927,pharmacy
Valero,29.5856565,-98.4511928,convenience
El Jarro de Arturo,29.5649278,-98.4840338,restaurant
H-E-B Pharmacy,29.5778295,-98.4762325,pharmacy
Good Sports,29.5620165,-98.592934,outdoor_shop
Pegasus Nightclub,29.4420445,-98.493955,bar
Sparky's,29.4423309,-98.4938518,pub
2015 Club,29.4534393,-98.4995672,bar
Alternative,29.4536074,-98.499586,bar
Electric Company,29.4416171,-98.4990529,bar
Bonham Exchange,29.4265761,-98.484296,nightclub
The Pigpen,29.460882,-98.4660965,bar
Bermuda Triangle,29.533598,-98.4935033,bar
Wingstop,29.4441535,-98.4996146,fast_food
